"originregion_id","originregion_name","destinationregion_id","destinationregion_name","regionflow_2005","regionflow_2006","regionflow_2007","regionflow_2008","regionflow_2009","regionflow_2010","regionflow_2011","regionflow_2012","regionflow_2013","regionflow_2014","regionflow_2015","origin_iso","origin_name","destination_iso","destination_name","countryflow_2005","countryflow_2006","countryflow_2007","countryflow_2008","countryflow_2009","countryflow_2010","countryflow_2011","countryflow_2012","countryflow_2013","countryflow_2014","countryflow_2015","origin_show","destination_show"
104,A - Afrika,12,Basel-Stadt,158,221,157,334,222,219,298,308,237,162,280,Algerien,Algerien,11,St. Johann,0,0,1,0,1,0,4,2,4,0,2,1,1
104,A - Afrika,12,Basel-Stadt,158,221,157,334,222,219,298,308,237,162,280,Algerien,Algerien,2,Vorstädte,0,0,2,0,1,0,0,0,0,0,0,1,1
104,A - Afrika,12,Basel-Stadt,158,221,157,334,222,219,298,308,237,162,280,Algerien,Algerien,14,Wettstein,0,0,0,1,0,0,0,1,0,0,0,1,1
12,Basel-Stadt,100,Übrige Schweiz,6885,6921,7295,7109,6939,6650,6920,6630,7050,6908,7262,1,Altstadt Grossbasel,AG,AG,5,13,11,4,8,8,8,5,5,11,5,1,1
12,Basel-Stadt,100,Übrige Schweiz,6885,6921,7295,7109,6939,6650,6920,6630,7050,6908,7262,1,Altstadt Grossbasel,AR,AR,0,0,0,3,1,5,0,0,0,0,0,1,1
12,Basel-Stadt,104,A - Afrika,130,116,75,76,85,94,80,102,110,107,89,1,Altstadt Grossbasel,Aegypten,Aegypten,2,1,1,0,0,0,0,0,0,0,0,1,1
12,Basel-Stadt,103,SA - Lateinamerika,134,143,152,171,142,154,186,174,180,167,164,1,Altstadt Grossbasel,Argentinien,Argentinien,0,0,1,0,0,0,1,0,0,1,0,1,1
12,Basel-Stadt,106,O - Australien,75,84,63,113,58,76,83,62,61,57,72,1,Altstadt Grossbasel,Australien,Australien,0,0,0,2,1,1,1,0,0,3,0,1,1
12,Basel-Stadt,100,Übrige Schweiz,6885,6921,7295,7109,6939,6650,6920,6630,7050,6908,7262,1,Altstadt Grossbasel,BE,BE,5,12,8,5,10,6,5,7,6,7,4,1,1
12,Basel-Stadt,100,Übrige Schweiz,6885,6921,7295,7109,6939,6650,6920,6630,7050,6908,7262,1,Altstadt Grossbasel,BL,BL,48,56,30,51,27,18,51,39,26,38,24,1,1
